id,Policy Name,Country,Year,Status,Jurisdiction,Topics,Policy Types,Sectors,Technologies,Description,Total Budget,Total Budget in USD,Governing Body,Target Project,Target Capacity,Beneficiary,Target Year,Period,Emission Goal
61,Package for the future – Hydrogen Strategy,Germany,2021,In force,National,"Technology R&D and innovation, Renewable Energy","Strategic plans, Regulation, Payments, finance and taxation, Public procurement, Payments and transfers, Targets, plans and framework legislation, Technology roadmaps, Grants","Fuel processing and transformation, Hydrogen production, Hydrogen production and supply",Hydrogen electrolysis technologies,"The German recovery plan intends to expand the role of hydrogen to decrease national reliance on coal. EUR 7 billion in government investments have accordingly been earmarked in for developing green hydrogen, with the following related measures : 

- Germany plans to build a production capacity of 5 GW by 2030. Additional capacities of 5 GW will be built by 2035-2040.   

- Hydrogen production will be done through tenders for electrolysis services, subsidies for building new plants, and new pilot programmes.   

- Green hydrogen production will be exempted from the Renewable Energy Sources Act (EEG) levy.  

- Hydrogen will be promoted in the industrial sector in order to reduce the use of fossil fuels in industrial processes e.g. green steel.  

- Germany will also promote the direct use of green hydrogen in aircraft engines, and will encourage the development of concepts for hybrid electric aircrafts (combination of hydrogen / fuel cells / battery technology).      

The Hydrogen Strategy also includes EUR 2 billion to establish international trade partnerships with countries with more favourable production conditions for green hydrogen, and build large production facilities using German technologies. 31 potential exporting countries (mainly located in West and South Africa), whose fossil-fuel dependency the partnership also means to reduce,  are identified. ",EUR 7 billion,8811600000.0,German recovery plan,developing green hydrogen,"production capacity: 5 GW by 2030, additional capacities of 5 GW by 2035-2040 (2030, 2035-2040)
","industrial sector, aircraft engines","2030, 2035-2040",not specified,not specified
97,Belgium-Namibia MoU on green hydrogen,Namibia,2021,In force,International,,International collaboration,"Economy-wide (Multi-sector), Hydrogen production and supply",Hydrogen electrolysis technologies,"The Minister of Energy of Belgium and the Minister of Mine and Energy of Namibia signed, during the COP26 in Glasgow, a Memorandum of Understanding (MoU) on cooperation in the field of green hydrogen. Belgium aims at importing hydrogen from Namibia, taking advantage of its abundant resources in solar energy. ",,,,,,,,,
64,Hydrogen roadmap,Colombia,2021,In force,National,Renewable Energy,"Strategic plans, Technology roadmaps",Hydrogen production and supply,Hydrogen,"With the support of the Inter-American Development Bank (IDB), the Government of Colombia has put in place a roadmap for the development of low-carbon hydrogen for the period 2021-2030.This roadmap is framed within four areas: 1) legal and regulatory enablers, 2) market development instruments, 3) support for infrastructure deployment, 4) technological and industrial development. These measures will be implemented in three phases:

1) Lay the foundations for hydrogen market, actions to be carried out in the short term (2 years) with the aim to establish a solid foundation of the market.

2) Enable and promote market development, actions to be carried out in the medium term (5 years) with the aim of stimulating early participants in the market and scale up the entire value chain.

3) Monitor and enables new uses, actions to be carried out in the medium/long term.The roadmap outlines the objectives by 2030:

- 1-3 GW installed electrolysers capacity, implying the installation of at least 1.5-4 GW of unconventional renewable energy sources - FNCER (Fuentes No Convencionales de Energía Renovable)

- 50 kt of hydrogen produced from fossil sources equipped with carbon capture system (CCUS) 

- production cost of 1.7 USD/kg H2 for electrolytic hydrogen 

- 1500-2000 light-duty fuel cell vehicles and 1000-1500 heavy-duty fuel cell vehicles

- 50-100 public HRS 

- 40% low-carbon hydrogen use in industry In the period 2030-2050, the roadmap envisions the competitiveness of low-carbon hydrogen in many applications, with increase volumes of production and demand and the beginning of export routes to other countries.",,,,,"Low-carbon hydrogen use in industry: 40% (2030)
",,2030,2021-2030,
65,New Energy Automobile Industry Development Plan (2021-2035),People's Republic of China,2021,In force,National,"Electrification, Technology R&D and innovation","Strategic plans, Targets, Targets, plans and framework legislation, Technology roadmaps, Domestic manufacturing incentive","Transport, Road transport, Passenger transport (Road)","Drive train or engine, Battery electric, Hybrid, Plug-in hybrid, Transport technologies, Fuel cell","By 2035, China is planning to have a strong international foothold on new energy vehicle technologies. Domestically, the government wants all public transportation to be fully electrified, electric vehicles to account for the majority of new vehicle sales, and fuel cells and autonomous vehicles to be commercially available and applied. The New Energy Automobile Industry Development Plan focuses on strategies and targets to promote new energy vehicles (including electric vehicles and hydrogen fuel cell vehicles). One of the main targets is to reach a fuel economy of 12kWh/100km for electric vehicles by 2025, and for new energy vehicles to account for 20% of the new vehicle sales. In addition, the battery swapping system will also be improved.

The steps mentioned in the plan focuses on R&D on technologies for new energy vehicles, development and implementation of new energy vehicles, strengthening the value chain of batteries, implement a battery recycling strategy, etc.",,,,,,,,2021-2035,
66,Low emission zones (LEZ) programme,Spain,2021,Ended,National,"Air Quality, Cities, Digitalisation","Payments, finance and taxation, Payments and transfers, Finance","Transport, Economy-wide (Multi-sector)",Transport technologies,"The Spanish Ministry of Transport enacted a EUR 1.5 billion recovery funding programme for national Low Emission Zones (LEZ). The objective of this initiative is to decarbonize cities and improve air quality, through the deployment of low-emission, electric or hydrogen public transport modes, and the extension of pedestrian and cycling infrastructures. The investment will be allocated to municipalities with more than 50,000 inhabitants and provincial capitals, as well as municipalities of between 20,000 and 50,000 inhabitants.The government budget was allocated to subnational authorities through two calls for projects in 2021 and 2022.",EUR 1.5 billion,1888200000.0,Spanish Ministry of Transport,"Decarbonize cities and improve air quality through the deployment of low-emission, electric or hydrogen public transport modes, and the extension of pedestrian and cycling infrastructures",,"Municipalities with more than 50,000 inhabitants and provincial capitals, as well as municipalities of between 20,000 and 50,000 inhabitants",,2021 and 2022,
67,Hydrogen storage project,United Kingdom,2021,Announced,National,Electrification,"Targets, plans and framework legislation, Major infrastructure plan","Power, Heat and Utilities, Hydrogen production and supply",,"UK government awarded GBP 9.4 million for the new hydrogen project at the country’s largest onshore wind farm near Glasgow. The project aims to produce hydrogen for storing energy and providing zero-carbon fuel to accelerate the clean energy transition, especially in the transport sector.",,,,Aldbrough Hydrogen Storage,"Hydrogen storage capacity: at least 320GWh (2028)
","Humber region, including heat, industry, and transport",Late 2020s onwards,,
68,National Plan for Recovery and Resilience - Component 1.2: Emerging energy technologies,Belgium,2021,In force,National,"Carbon Capture Utilisation and Storage, Technology R&D and innovation, Renewable Energy","Regulation, Payments, finance and taxation, Domestic manufacturing incentive","Power, Heat and Utilities, Power transmission and distribution, Heat and steam distribution (incl. district heating), Fuel processing and transformation, Hydrogen production and supply, Electricity and heat generation","District heating, CO2 transportation, Wind offshore, Wind, CO2 capture and transport technologies, Electricity generation and CHP technologies, Heating, cooling and climate control technologies","Axis 1 of the Belgian National Plan for Recovery and Resilience targets climate, sustainability and innovation. Component 1.2 aims at supporting emerging energy technologies, with two main regulation streams:

 - encouragements to the development of non-fossil based hydrogen and carbon markets, 

 - a reform of fossil fuel subsidies, 

Six main investments are planned:

 - Hydrogen and CO2 infrastructure

 - Value chain for hydrogen economy 

 - Development of low emission industry 

 - Platform for research in energy transition technologies 

 - Network for renewable heat EUR 

 - Offshore energy island

A public budget of EUR 2,104 million is allocated to this component.","EUR 2,104 million",2648515200.0,Belgian authorities,Six main investments are planned,"Offshore energy island
",Emerging energy technology sector,,2021-2027,
69,Automotive Sector Support Plan,France,2021,In force,National,"Energy Efficiency, Technology R&D and innovation","Payments, finance and taxation, Loans / debt finance, Targets, plans and framework legislation, Finance, Domestic manufacturing incentive","Transport, Road transport, Passenger transport (Road)","Road vehicles, Drive train or engine, Battery electric, Transport technologies, Vehicle type","The French Automotive Sector Support Plan enacted in May 2020  incorporates the following measures: 

-The French government granted EUR 295 million to the automotive sector at the outset of the Covid-19 crisis. A EUR 5 billion state-guaranteed loan was also extended to the Renault company. 

-An investment fund was created to ensure the financial sustainability of the industry, with BPI France, the state, and two companies (Renault and PSA) as main holders (EUR 100 million per stakeholder). Total available financial support for supply chain companies in the automotive sector will amount up to EUR 600 million. 

-An additional funding scheme will support future investments to modernise the auto industry, subject to hydrogen technology-based production and production requirements for electric vehicles (EV), with EUR 200 million available as of 2020. 

-Additional support for R&D amounting EUR 150 million will also be allocated over 2021-2025 under the framework of the 4th Investment Programme for the Future, so as to encourage innovation in thermal vehicles emission reduction, EV autonomy increase, EV production supply chain, batteries and electronic power forces, as well as hydrogen-based vehicles.

-French and German companies (SAFT, and PSA auto construction) will support industrial development of electronic batteries, to produce lithium-ion cells for EV batteries. The project will be allocated 850 million EUR, including 690 million EUR from the government. ","EUR 295 million (initial grant to the automotive sector), EUR 5 billion (state-guaranteed loan to Renault), EUR 100 million (investment fund for financial sustainability)",371346000.0,The governing body of the policy is not specified.,Modernization of the auto industry through hydrogen technology-based production and production requirements for electric vehicles (EV),"Hydrogen-based vehicles
",The key beneficiaries of the policy are supply chain companies in the automotive sector.,The target year to achieve the policy goals is not specified.,The policy covers the period from 2020 onwards.,The emission reduction goal is not specified.
70,Austrian Recovery & Resilience Plan / 1.Sustainable Construction / Climate neutral transformation - Renewable Expansion Act,Austria,2021,In force,National,"Cities, Renewable Energy","Payments, finance and taxation, Payments and transfers, Grants, Domestic manufacturing incentive","Buildings, Power, Heat and Utilities, Electricity and heat generation","Wind, Solar PV, Building-integrated PV, Hydropower (excl. pumped hydro), Biomass and renewable waste, Combustion-based power generation, Electricity generation and CHP technologies, PV installation types","By 2030, Austria aims to generate by 100% of the country's electricity from renewable energy sources, with one million roofs to produce solar electricity, all built in Austria, with 260 million EUR investment to be covered in the next two years.      

As part of the Austrian Recovery & Resilience Plan 2020-2026, Pillar 1 on sustainable construction, a policy concerns transformation towards climate neutrality of the economy. A budget of 100 million is allocated to this policy. The key measure of this policy to achieve climate neutrality is the Renewables Expansion Act, which aims to increase electricity production from renewables by 27 terawatt hours (TWh) by 2030. 

The additional capacities are to be composed as follows:   

- 11 TWh of photovoltaics,   

- 10 TWh of wind,   

- 5 TWh of hydropower  

- 1 TWh of biomass.     

The EAG act will set framework conditions: special market premiums and investment grants supporting clean technologies.      

A total of one billion euros will be invested annually in the expansion of renewables by 2030, via market premiums and investment grants.  Around EUR 500 million will be invested in Green Hydrogen and for industries willing to become CO2 neutral (such as steel production).",100 million,0.0,Austrian Recovery & Resilience Plan,Renewables Expansion Act,"Biomass: 1 TWh (2030)
",Renewable energy sector,2030,2020-2026,
71,Hydrogen Leadership Roadmap,United Arab Emirates,2021,In force,National,,Strategic plans,"Hydrogen production, Hydrogen production and supply, Hydrogen transportation, Hydrogen storage",,"The Ministry of Energy and Infrastructure (MOEI) announced during COP26 the UAE Hydrogen Leadership Roadmap. The roadmap includes three core objectives: unlocking new sources of value creation through exports of low carbon hydrogen, derivatives and products to key importing regions, fostering new hydrogen derivative opportunities through low-carbon steel, sustainable kerosene as well as other priority industries and contributing to the UAE’s 2050 net zero commitments. The UAE aims to support the low-carbon hydrogen business through five critical enablers: a clear regulatory framework backed by policies, incentives, standards, and certifications; best-in-class technology through value-add partnerships and the vibrant and robust UAE domestic research and development structure; access to existing and new Government-to-Government relationships to accelerate growth of a domestic ecosystem; readily available land and infrastructure resources to support domestic production; and green financing within the UAE and in international capital markets. The UAE targets 25% market share of low-carbon hydrogen by 2030 in the key export markets, including Japan, South Korea, Germany, India and Europe.",,,Ministry of Energy and Infrastructure (MOEI),,,"low-carbon industries, priority UAE industries",2030,,
72,Federal hydrogen vision and strategy,Belgium,2021,In force,National,Technology R&D and innovation,"Strategic plans, Targets, plans and framework legislation","Fuel processing and transformation, Hydrogen production and supply",Hydrogen,"To decarbonise energy-intensive industries as well as heavy and maritime transport, the Belgian government rolled out the federal hydrogen vision and strategy as part of the European hydrogen strategy aiming to deal with technological and economic challenges ahead. 

The strategy is built on four pillars: 

Positioning Belgium as an import and transit hub in Europe. The country will remain dependent on energy imports in various forms to cover its domestic demand, estimating between 2 and 6 TWh of renewable hydrogen (or derivatives) in 2030 and between 100 and 165 TWh in 2050. In this context, two conditions are essential: certification scheme for RFNBOs and agreements with EU and extra-EU partners.

Becoming a leader in hydrogen technologies. To strengthen the leading position in hydrogen technologies, the Energy Transition Fund will continue to operate until 2025 to provide 20 to 30 million euros in support funding. In addition, the federal government has allocated a budget of 60 million euros (including 50 million euros from the national recovery and resilience plan) to support various projects to scale up promising technologies.

Establishing a robust hydrogen market. The federal government plan to pursue the development of a hydrogen transport infrastructure by open-access pipeline. A first phase will be started by the commissioning of minimum 100 to 160km pipelines for H2 transport by 2026, partly supported by a budget of 95 million euros in the context of the national recovery and resilience plan. By 2030, Belgium has the ambition to connect the import hub to neighbouring countries via the open-access hydrogen network in order to realise its international positioning as an import and transit hub for renewable energy in Europe.

Investing in cooperation as a key success factor. Effective collaboration at all levels will have to be implemented to ensure the success of this strategy.",60 million euros,75528000.0,Federal government,Scaling up promising technologies,"Renewable hydrogen (or derivatives): 2-6 TWh in 2030, 100-165 TWh in 2050
","Energy-intensive industries, heavy and maritime transport",,,
73,Funding for EV Supply Chain RDD,United Kingdom,2021,In force,National,"Electrification, Technology R&D and innovation","Payments, finance and taxation, Targets, plans and framework legislation, Climate change strategies, Finance","Transport, Road transport","Transport technologies, Vehicle type","The government will fund over GBP 30 million to develop research into battery technology, the EV supply chain, and hydrogen vehicles. This investment will help improve and reduce the cost of electric vehicles (EV), support the creation of new jobs, new industries, and the development of green transport technologies.

22 studies will receive a share of 9.4 million GBP, including proposals to build a plant in Cornwall that will extract lithium for use in EV batteries, a plant to build specialized magnets for electric vehicle motors in Cheshire, and lightweight hydrogen storage for cars and vans in Loughborough. 

The government-backed Faraday Institution is also committing the first year of a GBP 22.6 million program on improving the safety, reliability, and sustainability of batteries.",GBP 30 million,32319000.0,,"22 studies including building a plant in Cornwall for lithium extraction, building a plant for specialized magnets in Cheshire, and lightweight hydrogen storage in Loughborough",,Electric vehicle industry and related sectors,,,
98,Belgium-Oman MoU for Cooperation in Green Hydrogen,Oman,2021,In force,International,Technology R&D and innovation,International collaboration,"Economy-wide (Multi-sector), Hydrogen production and supply",Hydrogen electrolysis technologies,"Belgium and Oman signed a Memorandum of Understanding (MoU) to promote and develop the green hydrogen projects, especially on the green Hydrogen Sultanate anchor project “Hyport Duqm” (the Sultanate’s strategic green hydrogen project in the Duqm Special Economic Zone). The project will build a 250 - 500 MW green hydrogen factory in the first phase aiming to start operation in 2026.

In addition, Belgium and Oman also agreed to work on the implementation of standards for green certification and the interaction between universities, scientific research institutes and the private sector of both countries.",,,,Hyport Duqm,"MW green hydrogen factory: 250 - 500 MW (2026)
",,,,
74,Economic Recovery and Resilience New Generation Lithuania / Green Transition / Increasing the production of local fuels for RES,Lithuania,2021,In force,National,"Cities, Renewable Energy, Energy Security","Strategic plans, Payments, finance and taxation, Urban planning, Targets, plans and framework legislation, Climate change strategies, Finance","Transport, Road transport, Fuel processing and transformation, Biofuel production","Transport technologies, Bioenergy supply and transformation technologies, Vehicle type","The increasing production of fuels for RES measure of the green transition part of the National Resilience and Recovery Plan aims to develop local fuels from renewable energy sources. Lithuania will invest 832.1 million EUR with EU funds to implement its Green Transition, with an additional 169.2 million EUR from alternative EU finance instruments, 257.44 million EUR from private legal entities and 45.26 million EUR from its national budget. This policy will provide state aid for biomethane gas production installations, including biogas plants for natural gas networks and to vehicles, investment support from EU funding to develop production capacity for companies on biofuels, and development of 'green hydrogen' production. ","1,303.02 million EUR",1640241576.0,,Increasing the production of local fuels for RES,"Local fuels for RES
",Companies in the biofuel production industry,,2021-2027,
75,Hydrogen Import Value Chain in Antwerp Port,Belgium,2021,Planned,National,"Energy Efficiency, Renewable Energy","Strategic plans, Targets, Urban planning, Framework legislation, Nationally Determined Contribution, Targets, plans and framework legislation, Major infrastructure plan, Climate change strategies","Economy-wide (Multi-sector), Fuel processing and transformation, Hydrogen production and supply, Hydrogen transportation",,The Port of Antwerp has partnered with energy utility Engie and five other entities in a consortium aiming to establish a full renewable hydrogen import value chain in Belgium by the end of 2030.,,,,,,,2030,,
76,"Cross-border energy infrastructure, new rules for TEN-E",European Union,2021,In force,International,"Energy Efficiency, Technology R&D and innovation, Renewable Energy, Energy Security","Strategic plans, Regulation, Targets, Permitting processes, Framework legislation, Prescriptive requirements and standards, Targets, plans and framework legislation, Rights, permits and licenses, Major infrastructure plan, Climate change strategies, Compliance requirements","Power, Heat and Utilities, Power transmission and distribution, Economy-wide (Multi-sector), Fuel processing and transformation, Transmission","Transport technologies, Energy storage technologies, Fuel transformation, transportation and above-ground storage technologies, Heating, cooling and climate control technologies, Hydrogen electrolysis technologies","The EU Council reached a general approach on the revision of the Trans-European Networks for Energy (TEN-E) Regulation, in view of modernising, decarbonising and interconnecting the EU's cross-border energy infrastructure towards the EU's 2050 climate neutrality objectives. 

The revision of the TEN-E Regulation identifies 11 priority corridors and 3 priority thematic areas to develop and interconnect. This will be done mostly through projects of common interest (PCIs), financed by the Connecting Europe Facility for 2021-2027. The revised Regulation updates the infrastructure categories eligible for support with an emphasis on decarbonisation and adds a new focus on offshore electricity grids, hydrogen infrastructure and smart grids.

In parallel, all support for new natural gas and oil projects will end, and the EU will introduce mandatory sustainability criteria for all projects. During a transitional period until 31st December 2029, dedicated hydrogen assets converted from natural gas can be used to transport or store a pre-defined blend of hydrogen with natural gas or biomethane. Selected projects shall demonstrate how, by the end of this transitional period, these assets will cease to be natural gas assets and become dedicated hydrogen assets. ",,,,"Hydrogen interconnections in Central Eastern and South Eastern Europe (HI East), Baltic Energy Market Interconnection Plan in hydrogen (BEMIP Hydrogen), Smart electricity grids deployment, Smart gas grids, Cross-border carbon dioxide network",,,,,
77,"Recovery, transformation and resilience plan",Spain,2021,In force,National,"Cities, Energy Efficiency, Renewable Energy","Payments, finance and taxation, Finance",Economy-wide (Multi-sector),,"The Plan for Recovery, Transformation, Resilience of the Spanish Economy is designed around the four transformations: the ecological transition, digital transformation, gender equality and social and territorial cohesion. Some 70% of this  Plan (EUR 70 000 million) will go to the areas of green economy and ecologic transition, notably :     

  

Component 1: Sustainable mobility plan (urban and rural agenda) – EUR 6 536 million

Component 2: Building and housing rehabilitation – EUR 6 820 million   

Component 6: Sustainable mobility (energy transition ) – EUR 6 667 million - most of this to electric vehicle   

Component 7: Renewables integration – EUR 3 165 million   

Component 8: Electric infrastructure, smart grids, flexibility and storage – EUR 1 365 million   

Component 9: Green hydrogen – EUR 1 555 million   

Component 10: Fair transition – EUR 300 million",,,,Vocational Education and Training (VET) system modernization,"VET places: 135,000 new VET places
",Spanish economy,2026,,
78,Daintree Microgrid Program,Australia,2021,In force,National,"Electrification, Renewable Energy","Payments, finance and taxation, Finance, Equity","Power, Heat and Utilities, Power transmission and distribution",,"The Australian Government planned to finance up to AUD 19.3 million in order to support the deployment of a renewable energy microgrid incorporating hydrogen in the Daintree in northern Queensland. 

The project will improve the affordability, reliability and security of energy supply in the region and reduce emissions by replacing diesel generation.",$19 million,19000000.0,Commonwealth,solar to hydrogen and battery storage facility,"battery storage capacity (2024)
",Daintree region,2024,,
79,Recovery and resilience plan / Climate transition dimension,Portugal,2021,In force,National,"Digitalisation, Energy Efficiency, Electrification","Strategic plans, Targets, plans and framework legislation, Climate change strategies",Economy-wide (Multi-sector),,"This second pillar of Portugal's recovery plan, climate transition, concentrates 18% of the total investments. It contains 8 reforms and 17 investments, divided into the following components (10 to 15); 55% reduction of CO2 by 2030. 

10 - Sustainable enhancement of economic activities of the sea: EUR 252 million

11 - Industry decarbonisation: EUR 715 million

12 - Sustainable bioeconomy: EUR 145 million

This component concerns three sectors: textiles and clothing, footwear, and natural resin. The aim is to promote circular economy practices, the use of biomaterials, and digitalization.

13 - Energy efficiency in buildings: EUR 610 million

14 - Hydrogen and renewables: EUR 370 million

15 - Sustainable Mobility: EUR 967 million",€13.9 billion in grants and €2.7 billion in loans,17497320000.0,Portuguese authorities,"[{'item': 'Sustainable enhancement of economic activities of the sea', 'budget': '€252 million'}, {'item': 'Industry decarbonisation', 'budget': '€715 million'}, {'item': 'Sustainable bioeconomy', 'budget': '€145 million'}, {'item': 'Energy efficiency in buildings', 'budget': '€610 million'}, {'item': 'Hydrogen and renewables', 'budget': '€370 million'}]",,"Textiles and clothing, footwear, natural resin",,Up to August 2026,55% reduction of CO2 by 2030
81,Ten milestones in 2021,Colombia,2021,In force,National,"Electrification, Technology R&D and innovation, Renewable Energy","Targets, Framework legislation, Targets, plans and framework legislation",Economy-wide (Multi-sector),Cooking,"The Colombian Minister of Mines and Energy, Diego Mesa, presented ten milestones for the mining sector in 2021, as the starting point for sustainable development of the sector, regions and the country. The 10 milestones are centred around three strategic axes: 1) Energy Transition, with: - the massive expansion of renewable energy sources to reach over 700MW of installed capacity - developing and publishing the hydrogen roadmap for the next ten years - publishing the Energy Transformation Mission roadmap for the modernisation of the electricity sector and the role of gas - promoting electric mobility in Colombia through various measures 2) energy security, with: - granting electricy access to 70 000 new users - providing natural gas access to 250,000 families to reaching natural gas access goals in advance - allocating at least 15 new areas for the development of new hydrocarbon wells 3) mining diversification and formalization, with: - developing up to 30 new gold and copper projects by 2024 - launching a new mechanism to grant mining concessions, wiht a focus on copper and phosphates in 2021 - working to formalise small miners to reach 21 000 formalised miners by the end of 2021",,,,,"Electric mobility
",,,,
82,Climate change and energy transition law,Spain,2021,In force,National,"Energy Efficiency, Technology R&D and innovation, Renewable Energy","Strategic plans, Targets, Targets, plans and framework legislation, Climate change strategies",Economy-wide (Multi-sector),,"The Climate Change and Energy Transition Law entered into force on May 20th 2021. This law enshrines into Spanish normative the target of reaching climate neutrality by 2050 at the latest.    

Art.3 :  The long-term objective is the decarbonization of the economy by 2050 with a 100% renewable electricity system.  It sets goals by 2030 of reducing greenhouse gas emissions by at least 23% with respect to 1990, achieve 42% renewables in final energy consumption and 74% renewable electricity generation, and improving energy efficiency by reducing primary energy consumption by at least 39.5%     

These goals will be reviewed upward periodically starting in 2023.    

No new exploration authorisations will be allocated for hydrocarbon research permits or exploitation concessions. (art.9)  Renewable gases, including biogas, biomethane, hydrogen and other renewable fuels will be encouraged. (art. 12)  

By 2040, new passengers cars and light commercial vehicles must be emissions free. (art. 14)  

Municipalities with more than 50,000 inhabitants and island territories will have to implement a sustainable urban mobility plan by 2023, and introduce mitigation measures. (art.14)",,,,,,,2050,,23% reduction by 2030
83,Australian government support for hydrogen use in alumina refining,Australia,2021,In force,National,"Energy Efficiency, Technology R&D and innovation, Renewable Energy","Payments, finance and taxation, Finance, Equity","Industry, Manufacturing",,"The Australian government will provide up to AUD 580 thousand through the Australian Renewable Energy Agency (ARENA) and in collaboration with Rio Tinto. 

The objectives is to assess hydrogen-fuelled calcination technology at Rio Tinto's Yarwun alumina refinery in Gladstone, Queensland.",AUD 580 thousand,374100.0,Australian Renewable Energy Agency (ARENA) in collaboration with Rio Tinto,"assessing hydrogen-fuelled calcination technology at Rio Tinto's Yarwun alumina refinery in Gladstone, Queensland",,Rio Tinto's Yarwun alumina refinery,,,
84,"Recovery, transformation and resilience plan / Urban and rural agenda (I) / Component 1: Action plan for sustainable, safe and connected mobility in urban and metropolitan areas",Spain,2021,In force,National,Cities,"Payments, finance and taxation, Public procurement, Payments and transfers, Grants","Transport, Road transport, Rail transport",,"Spain submitted its recovery and resilience plan in April 2021 to the European Commission.  

Within the first pillar of the plan, one component relates to sustainable mobility in urban areas. The measure is composed of the following initiatives:

- Plan for the development of charging infrastructure and promotion of electric vehicles

- Law of sustainable mobility and transportation financing 

- Creation of low-emissions zones and digital & sustainable transformation of urban mobility: includes incentives for low-carbon vehicles.

- Incentives plan for the installation of public & private charging points, purchase of electric vehicles and fuel cells, and the promotion of innovative projects related to electric mobility, charging and green hydrogen.

- Actions to improve the quality and reliability of public transport services.

Overall, these measures are expected to reach EUR 6.536 billion by 2023.EUR 1 billion were awarded in 2022 to 170 municipalities and 2 supra-municipal entities.In April 2022, an additional budget of EUR 125 million was allocated from the Incentive Program for Efficient and Sustainable Mobility (MOVES III) to promote electric mobility in Catalonia, the Community of Madrid, Castilla y León and the Balearic Islands, at subnational authorities' request.",,,"Ministry of Transport, Mobility and Urban Agenda",Rehabilitation programme for larger municipalities,"Installed capacity of between 300 MW and 600 MW of electrolysers (2024)
","Communities of owners, construction companies, energy companies, banks",2030,2020-2030,
85,Green H2 Incubator,Chile,2021,In force,National,Technology R&D and innovation,"Payments, finance and taxation, Payments and transfers, Grants, Knowledge sharing, Knowledge networks, Matchmaking between investors and firms, Business accelerators / Incubators","Buildings, Industry, Transport, Power, Heat and Utilities, Agriculture, Fisheries, Forestry and Hunting, Fuel processing and transformation, Hydrogen production, Hydrogen production and supply, Hydrogen transportation, Hydrogen storage","Fuel cells, Fuel cell, Hydrogen refuelling stations, Alkaline electrolysers, Direct reduced iron (incl. hydrogen-based), Hydrogen, Hydrogen and CO/CO2-based chemicals, Hydrogen and other alternative fuels, Hydrogen electrolysis technologies, Hyrogen fuel cells, PEM electrolysers, SOEC electrolysers, Synthetic fuel production","This initiative is aimed at supporting early, competitive projects for end-use hydrogen technologies including transport, industry, power generation and logistics.        

Support in pilot design (stage 1) and cofinancing (stage 2) for a total of 400,000 USD for all projects. Involved organisations are the Ministry of Energy and the Energy Sustainability Agency (Agencia de Sostenibilidad Energética - ASE).",,,Ministry of Energy and Energy Sustainability Agency (ASE),,,,2021,,
99,Belgium-Oman MoU for Cooperation in Green Hydrogen,Oman,2021,In force,International,Technology R&D and innovation,International collaboration,"Economy-wide (Multi-sector), Hydrogen production and supply",Hydrogen electrolysis technologies,"Belgium and Oman signed a Memorandum of Understanding (MoU) to promote and develop the green hydrogen projects, especially on the green Hydrogen Sultanate anchor project “Hyport Duqm” (the Sultanate’s strategic green hydrogen project in the Duqm Special Economic Zone). The project will build a 250 - 500 MW green hydrogen factory in the first phase aiming to start operation in 2026.

In addition, Belgium and Oman also agreed to work on the implementation of standards for green certification and the interaction between universities, scientific research institutes and the private sector of both countries.",,,,Hyport Duqm,"green hydrogen facility: 250-500 MW (2026)
",,2026,,
86,The Low-Carbon Energy Research Funding Initiative,Singapore,2021,In force,National,Carbon Capture Utilisation and Storage,"Payments, finance and taxation","CO2 capture, CO2 transport, utilisation and storage, Hydrogen production and supply","CO2 Capture, CO2 transportation, CO2 storage, CO2 capture and transport technologies, CO2 utilisation in cement and concrete, Hydrogen, Hydrogen and CO/CO2-based chemicals, Hydrogen electrolysis technologies, Hyrogen fuel cells","The Low-Carbon Energy Research (LCER) Funding Initiative (FI) is a multi-agency initiative that aims to develop low-carbon energy technologies in hydrogen and carbon capture, utilisation, and storage (CCUS), to support the decarbonisation of the power and industry sectors. The first grant call was issued in 2021 and focused on developing low and medium technology readiness level (TRL) technologies (i.e. low: TRL 1-3, medium: TRL 4-6). Singapore selected 12 research, development and demonstration projects as part of the first call, totalling SGD 55 million.

Hydrogen: Projects will look at developing easier ways to transport hydrogen by using ammonia, and enabling the safe deployment of hydrogen by developing sensors to detect hydrogen leaks. One project will explore reducing the cost of using Liquid Organic Hydrogen Carriers for the transportation of hydrogen.

CCUS: Projects will explore using captured CO2 to make alternatives to sand which can be used for construction purposes. Others include developing CO2 capture technologies such as novel membranes or novel materials to absorb CO2 using ashes collected from Singapore’s waste-to-energy facilities. One project will also explore the use of captured CO2 and water to produce important commodity chemicals for industrial processes.",SGD 55 million,40150000.0,The Low-Carbon Energy Research Funding Initiative,"Projects focusing on developing low and medium technology readiness level (TRL) technologies in hydrogen and carbon capture, utilisation, and storage (CCUS)","CO2 and water utilization for commodity chemical production: Exploring the use of captured CO2 and water to produce important commodity chemicals for industrial processes
",Power and industry sectors,,,
