Ref,Project Name,Project Type,Announcement Date,FID Date,Operation Date,Decommission Date,Project Status,Project Phase,Announced capacity (low) (Mt CO2/yr),Announced capacity (high) (Mt CO2/yr),Sector,Fate of Carbon,Part of CCUS Hub
CCUS_166,Dalstur Energy Coal India coal hydrogen,Capture,2022-01-01,,,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,
CCUS_167,Damhead Creek CCGT power station,Capture,2022-01-01,,,,Planned,,,,Power and heat,Dedicated storage,Medway Hub CCS
CCUS_168,D'Artagnan Dunkirk CO2 Hub Phase 1,Transport,2021-01-01,,2027-01-01,,Planned,1.0,3.0,3.0,CO2 transport,,D'Artagnan/Nautilus
CCUS_169,D'Artagnan Dunkirk CO2 Hub Phase 2,Transport,2021-01-01,,2031-01-01,,Planned,2.0,1.4,1.4,CO2 transport,,D'Artagnan/Nautilus
CCUS_170,D'Artagnan Dunkirk CO2 Hub Phase 3,Transport,2021-01-01,,2035-01-01,,Planned,3.0,5.6,5.6,CO2 transport,,D'Artagnan/Nautilus
CCUS_171,Daya Bay CCS Hub,Transport & Storage,2022-01-01,,,,Planned,,10.0,10.0,CO2 transport & storage,Dedicated storage,Daya Bay CCS Hub
CCUS_172,Decatur project (IL),Full Chain,2009-01-01,2011-01-01,2011-01-01,2014-01-01,Decommissioned,,0.33,0.33,Biofuels,Dedicated storage,
CCUS_173,DelpHYnus hydrogen production Theddlethorpe,Capture,2021-01-01,,,,Planned,,,,Hydrogen/ammonia,Dedicated storage,Delphynus
CCUS_174,Delta Rhyne Corridor_CO2,Transport,2021-01-01,2024-01-01,2027-01-01,,Planned,,14.9,14.9,CO2 transport,,Connected to German Carbon Grid
CCUS_175,Denbury / Mitsubishi Gulf Coast ammonia project (TBD),Transport & Storage,2021-01-01,,,,Planned,,1.8,1.8,CO2 transport & storage,Dedicated storage,
CCUS_176,Denbury Ascension Parish sequestration (LA),Storage,2022-01-01,,2025-01-01,,Planned,,12.0,12.0,CO2 storage,Dedicated storage,Denbury Ascension Parish sequestration
CCUS_177,Denbury Delta Pipeline (MS),Transport,,,2007-01-01,,Operational,,,,CO2 transport,,Denbury Delta Pipeline
CCUS_178,Denbury Free state Pipeline (MS),Transport,,,2006-01-01,,Operational,,,,CO2 transport,,Denbury Free state Pipeline
CCUS_179,Denbury Green Pipeline (LA-TX),Transport,,,2010-01-01,,Operational,,16.0,16.0,CO2 transport,,Denbury Green Pipeline
CCUS_180,Denbury NEJD Pipeline (MS-LA),Transport,,,2001-01-01,,Operational,,,,CO2 transport,,Denbury NEJD Pipeline
CCUS_181,Denbury West Gwinville Pipeline (MS),Transport,,,2008-01-01,,Operational,,,,CO2 transport,,Denbury West Gwinville Pipeline
CCUS_182,Donghae CCS Project,Full Chain,2022-01-01,2024-01-01,2026-01-01,,Planned,,0.4,0.4,Other fuel transformation,Dedicated storage,
CCUS_183,Dos Bocas refinery,Capture,,,,,Planned,,,,Other fuel transformation,Unknown/unspecified,
CCUS_184,Dow Fort Saskatchewan ethylene facility (ALB),Capture,2021-01-01,,2029-01-01,,Planned,,,,Other industry,Enhanced oil recovery,Alberta Carbon Trunk Line (ACTL)
CCUS_185,Drax BECCS Project (Phase 1),Capture,2019-01-01,2024-01-01,2027-01-01,,Planned,1.0,4.3,4.3,Power and heat,Dedicated storage,Northern Endurance Partnership
CCUS_186,Drax BECCS Project (Phase 2),Capture,2019-01-01,2024-01-01,2030-01-01,,Planned,2.0,3.7,3.7,Power and heat,Dedicated storage,Northern Endurance Partnership
CCUS_187,Dry Fork Integrated Commercial CCS (WY),Full Chain,2016-01-01,,2025-01-01,,Planned,,3.0,3.0,Power and heat,Unknown/unspecified,
CCUS_188,East Calgary Region Carbon Sequestration Hub (ALB),Storage,2022-01-01,,,,Planned,,5.0,5.0,CO2 storage,Dedicated storage,East Calgary Region Carbon Sequestration Hub (ALB)
CCUS_189,Eastern Louisiana Clean Hydrogen Complex (LA) ,Full Chain,2021-01-01,,2026-01-01,,Planned,,5.0,5.0,Hydrogen/ammonia,Dedicated storage,
CCUS_190,Eastern Wyoming Sequestration Hub (WY),Storage,2022-01-01,,,,Planned,,,,CO2 transport & storage,Dedicated storage,Eastern Wyoming Sequestration Hub (WY)
CCUS_191,ECO2CEE (previously Poland EU CCS Interconnector) phase 1,Transport,2021-01-01,,2028-01-01,,Planned,1.0,2.5,2.5,CO2 transport,,ECO2CEE
CCUS_192,ECO2CEE (previously Poland EU CCS Interconnector) phase 2,Transport,2021-01-01,,2031-01-01,,Planned,2.0,6.5,6.5,CO2 transport,,ECO2CEE
CCUS_193,ECO2CEE (previously Poland EU CCS Interconnector) phase 3,Transport,2021-01-01,,2033-01-01,,Planned,3.0,0.3,0.3,CO2 transport,,ECO2CEE
CCUS_194,ECO2Normandy phase 1,Transport,2023-01-01,,2028-01-01,,Planned,1.0,1.2,1.2,CO2 transport,,ECO2Normandy/Nautilus
CCUS_195,ECO2Normandy phase 2,Transport,2023-01-01,,2031-01-01,,Planned,2.0,1.2,1.2,CO2 transport,,ECO2Normandy/Nautilus
CCUS_196,ECO2Normandy phase 3,Transport,2023-01-01,,2036-01-01,,Planned,3.0,0.65,0.65,CO2 transport,,ECO2Normandy/Nautilus
CCUS_197,Edmonton Blue Hydrogen plant (ALB) (Shell Polaris),Capture,2021-01-01,,,,Planned,,,,Hydrogen/ammonia,Dedicated storage,Polaris CCS transport and storage hub
CCUS_198,Eemshaven port terminal (NoordKaap) phase 1,Transport & Storage,2023-01-01,,2028-01-01,,Planned,1.0,8.0,8.0,CO2 transport & storage,Dedicated storage,Noorkaap
CCUS_199,Enabling Production of Low Carbon Emissions Steel through CO2 Capture from Blast Furnace Gases (Cleaveland-Cliffs Burns Harbors steel plant DOE pre-FEED) (IN),Capture,2020-01-01,,,,Planned,,2.0,2.0,Iron and steel,Unknown/unspecified,
CCUS_200,Enbridge Ingleside Energy Center Low carbon ammonia (TX),Full Chain,2022-01-01,,2026-01-01,,Planned,,,,Hydrogen/ammonia,Dedicated storage,
CCUS_201,Eneos J-Power coal power capture,Full Chain,2022-01-01,2026-01-01,,,Planned,,,,Power and heat,Dedicated storage,
CCUS_202,Energy Recovery Facility Edmonton EcoPark,Capture,2020-01-01,,,,Planned,,,,Power and heat,Dedicated storage,Becton Thames Net Zero Initiative
CCUS_203,ENI Casalborsetti (Ravenna) power plant (Ravenna phase 2),Capture,2020-01-01,,2027-01-01,,Planned,1.0,0.8,0.8,Power and heat,Dedicated storage,Ravenna Hub
CCUS_204,ENI Venice bio-refinery Porto Marghera (Ravenna phase 2),Capture,2020-01-01,,2027-01-01,,Planned,,0.3,0.3,Other fuel transformation,Dedicated storage,Ravenna Hub
CCUS_205,Enid fertiliser (OK),Full Chain,,,1982-01-01,,Operational,,0.68,0.68,Other industry,Enhanced oil recovery,
CCUS_206,EnLink midstream network (LA),Transport,2022-01-01,,2025-01-01,,Planned,,2.0,2.0,CO2 transport,,Enlink midstream network (LA)
CCUS_207,Equinor Smeaheia storage,Transport & Storage,2022-01-01,,,,Planned,,20.0,20.0,CO2 transport & storage,Dedicated storage,Wilhelmshaven/Smeahia
CCUS_208,Errai storage project,Storage,2021-01-01,2024-01-01,2026-01-01,,Planned,,4.0,8.0,CO2 storage,Dedicated storage,Errai storage project/Nautilus
CCUS_209,Ervia Cork CCS -  Aghada CCGT,Capture,2018-01-01,,2028-01-01,,Planned,,,,Power and heat,Unknown/unspecified,Ervia Cork CCS
CCUS_210,Ervia Cork CCS - Irving refinery,Capture,2018-01-01,,2028-01-01,,Planned,,2.5,2.5,Other fuel transformation,Unknown/unspecified,Ervia Cork CCS
CCUS_211,Ervia Cork CCS - Whitegate CCGT,Capture,2018-01-01,,2028-01-01,,Planned,,,,Power and heat,Unknown/unspecified,Ervia Cork CCS
CCUS_212,EU2NSEA,Transport & Storage,2022-01-01,,2029-01-01,,Planned,,20.0,20.0,CO2 transport & storage,Dedicated storage,EU2NSEA
CCUS_213,Exshaw Cement Carbon Capture and Bow Valley Decarbonization (ALB),Capture,2022-01-01,,,,Planned,,,,Cement,Unknown/unspecified,Bow River Hub (ALB)
CCUS_214,Exxonmobil Antwerp Refinery CCS,Capture,2021-01-01,2023-01-01,2030-01-01,,Planned,,,,Other fuel transformation,Unknown/unspecified,
CCUS_215,ExxonMobil Baytown petrochemical site (TX),Capture,2022-01-01,2024-01-01,2028-01-01,,Planned,,7.0,7.0,Other fuel transformation,Dedicated storage,Houston CCS Hub
CCUS_216,Exxonmobil Botlek Rotterdam refinery,Capture,2019-01-01,,2024-01-01,,Planned,,,,Other fuel transformation,Dedicated storage,Porthos
CCUS_217,ExxonMobil Fawley refinery,Capture,2021-01-01,,2030-01-01,,Planned,,2.0,2.0,Other fuel transformation,Dedicated storage,
CCUS_218,ExxonMobil Vermilion parish storage (LA),Storage,2022-01-01,,2025-01-01,,Planned,,2.0,2.0,CO2 storage,Dedicated storage,ExxonMobil Vermilion parish storage
CCUS_219,Fidelis Project Cyclus Baton Rouge (LA),Full Chain,2022-01-01,,2032-01-01,,Planned,,1.0,1.0,Power and heat,Dedicated storage,
CCUS_220,Fluxys-Equinor Belgium-Norway Trunk Line ,Transport,2022-01-01,2025-01-01,2030-01-01,,Planned,,20.0,40.0,CO2 transport,,Connected to German Carbon Grid
CCUS_221,Freeport LNG CCS (TX),Full Chain,2021-01-01,,2024-01-01,,Planned,,,,Natural gas processing,Dedicated storage,
CCUS_222,Frevar KF / Kvitebjorn BIO-EL (Borg CO2),Capture,2019-01-01,,,,Planned,,0.135,0.135,Power and heat,Dedicated storage,Northern Lights
CCUS_223,Frog Lake Power Plant (ALB),Capture,2021-01-01,2023-01-01,2025-01-01,,Planned,,0.7,0.8,Power and heat,Dedicated storage,Kanata CarbonHub
CCUS_224,FS Lucas do Rio Verde ethanol biorefinery complex,Full Chain,2021-01-01,,2030-01-01,,Planned,,,,Biofuels,Dedicated storage,
CCUS_225,Future Biogas plants phase 1,Capture,2021-01-01,,2024-01-01,,Planned,1.0,0.2,0.2,Biofuels,Dedicated storage,Northern Lights
CCUS_226,Future Biogas plants phase 2,Capture,2021-01-01,,2028-01-01,,Planned,2.0,0.345,0.345,Biofuels,Dedicated storage,Northern Lights
CCUS_227,G2 Net-Zero (LA),Capture,2020-01-01,,2027-01-01,,Planned,,4.0,4.0,Natural gas processing,Unknown/unspecified,
CCUS_228,Gasha Mega-project gas concession,Full Chain,2021-01-01,2023-01-01,2025-01-01,,Planned,,,,Natural gas processing,Unknown/unspecified,
CCUS_229,Genesee CCS (ALB),Capture,2021-01-01,2023-01-01,2027-01-01,,Planned,,3.0,3.0,Power and heat,Dedicated storage, Open Access Wabamun Carbon Hub
CCUS_230,Geothermal CCS Croatia,Transport & Storage,2022-01-01,2025-01-01,2031-01-01,,Planned,,0.63,0.63,CO2 transport & storage,Dedicated storage,Geothermal CCS Croatia
CCUS_231,Geovault Carnarvon Basin CCS assessment,Storage,2022-01-01,,,,Planned,,,,CO2 storage,Dedicated storage,
CCUS_232,Gerald Gentleman Station Carbon Capture (NE),Capture,2013-01-01,,2025-01-01,,Planned,,3.8,3.8,Power and heat,Enhanced oil recovery,
CCUS_233,German carbon transport grid,Transport,2022-01-01,2023-01-01,2028-01-01,,Planned,,18.8,25.8,CO2 transport,,German Carbon transport grid
CCUS_234,Ghent Carbon Hub,Transport,2022-01-01,,2027-01-01,,Planned,,6.0,6.0,CO2 transport,,Connected to German Carbon Grid
CCUS_235,Glacial Lakes Energy Aberdeen biorefinery (SD),Capture,2021-01-01,2023-01-01,2024-01-01,,Planned,,0.12,0.14,Biofuels,Dedicated storage,Midwest carbon express
CCUS_236,Glacial Lakes Energy Mina biorefinery (SD),Capture,2021-01-01,2023-01-01,2024-01-01,,Planned,,0.34,0.4,Biofuels,Dedicated storage,Midwest carbon express
CCUS_237,Glacial Lakes Energy Watertown biorefinery (SD),Capture,2021-01-01,2023-01-01,2024-01-01,,Planned,,0.32,0.372,Biofuels,Dedicated storage,Midwest carbon express
CCUS_238,Glacier Gas Plant CCS Full capacity (ALB),Full Chain,2021-01-01,2023-01-01,2023-01-01,,Planned,1.0,0.2,0.2,Natural gas processing,Unknown/unspecified,
CCUS_239,Go4ECOPlant Lafarge Polska Kujawy plant,Capture,2022-01-01,,2027-01-01,,Planned,,,,Cement,Dedicated storage,Poland EU CCS Interconnector
CCUS_240,Golden Grain Energy Mason City biorefinery (IA),Capture,2021-01-01,2023-01-01,2024-01-01,,Planned,,0.29,0.343,Biofuels,Dedicated storage,Midwest carbon express
CCUS_241,Gorgon CCS,Full Chain,2009-01-01,2009-01-01,2019-01-01,,Operational,,3.4,4.0,Natural gas processing,Dedicated storage,
CCUS_242,Grain CCGT power station,Capture,2022-01-01,,,,Planned,,,,Power and heat,Dedicated storage,Medway Hub CCS
CCUS_243,Grande Prairie Net Zero Gateway (ALB),Storage,2022-01-01,,,,Planned,,,,CO2 storage,Dedicated storage,"Grande Prairie Net Zero Gateway, NorthRiver Midstream Inc. (ALB)"
CCUS_244,Granite Falls biorefinery (MN),Capture,2021-01-01,2023-01-01,2024-01-01,,Planned,,0.15,0.18,Biofuels,Dedicated storage,Midwest carbon express
CCUS_245,Great Plains Synfuel Plant (ND) Weyburn-Midale (SK),Full Chain,1997-01-01,,2000-01-01,,Operational,,3.0,3.0,Other fuel transformation,Enhanced oil recovery,Weyburn storage unit
CCUS_246,Green Plains Atkinson biorefinery (NE),Capture,2021-01-01,2023-01-01,2024-01-01,,Planned,,0.14,0.157,Biofuels,Dedicated storage,Midwest carbon express
CCUS_247,Green Plains Central City biorefinery (NE),Capture,2021-01-01,2023-01-01,2024-01-01,,Planned,,0.3,0.332,Biofuels,Dedicated storage,Midwest carbon express
CCUS_248,Green Plains Fairmont biorefinery (MN),Capture,2021-01-01,2023-01-01,2024-01-01,,Planned,,0.3,0.343,Biofuels,Dedicated storage,Midwest carbon express
CCUS_249,Green Plains Otter Tail biorefinery (MN),Capture,2021-01-01,2023-01-01,2024-01-01,,Planned,,0.172,0.172,Biofuels,Dedicated storage,Midwest carbon express
CCUS_250,Green Plains Shenandoah biorefinery (MN),Capture,2021-01-01,2023-01-01,2024-01-01,,Planned,,0.21,0.235,Biofuels,Dedicated storage,Midwest carbon express
CCUS_251,Green Plains Superior biorefinery (IA),Capture,2021-01-01,2023-01-01,2024-01-01,,Planned,,0.15,0.172,Biofuels,Dedicated storage,Midwest carbon express
CCUS_252,Green Plains Wood River biorefinery (NE),Capture,2021-01-01,2023-01-01,2024-01-01,,Planned,,0.31,0.346,Biofuels,Dedicated storage,Midwest carbon express
CCUS_253,Green Plains York biorefinery (NE),Capture,2021-01-01,2023-01-01,2024-01-01,,Planned,,0.13,0.143,Biofuels,Dedicated storage,Midwest carbon express
CCUS_254,GreenGen Tianjin Huaneng IGCC Project Phase III,Full Chain,2011-01-01,,2030-01-01,,Planned,1.0,2.0,2.0,Power and heat,Unknown/unspecified,
CCUS_255,Greenview Region CCS Project (ALB),Storage,2022-01-01,,,,Planned,,,,CO2 storage,Dedicated storage,Greenview Region CCS Project (ALB)
CCUS_256,Guanghui Energy CCUS integation project Phase 1,Full Chain,2022-01-01,2022-01-01,,,Under construction,,0.1,0.1,Other fuel transformation,Enhanced oil recovery,
CCUS_257,Gulf Coast Sequestration Hub Lake Charles (LA),Storage,2020-01-01,,2030-01-01,,Planned,,2.7,2.7,CO2 storage,Dedicated storage,Gulf Coast Sequestration Hub
CCUS_258,Gulf of Mexico CCS Partnership Hub,Transport & Storage,2022-01-01,,,,Planned,,,,CO2 transport & storage,Dedicated storage,Gulf of Mexico CCS Partnership Hub
CCUS_259,Gundih gas field EGR,Full Chain,2020-01-01,,2026-01-01,,Planned,,0.3,0.3,Natural gas processing,Enhanced oil recovery,
CCUS_260,H21 Leeds City Gate - Teesside hydrogen,Capture,2014-01-01,,2035-01-01,,Planned,,1.5,1.5,Hydrogen/ammonia,Dedicated storage,
CCUS_261,H2BE,Capture,2021-01-01,,2030-01-01,,Planned,,,,Hydrogen/ammonia,Dedicated storage,
CCUS_262,H2biscus,Capture,2022-01-01,,,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,
CCUS_263,H2GE Rostock,Capture,2022-01-01,,,,Planned,,2.0,2.0,Hydrogen/ammonia,Dedicated storage,Northern Lights
CCUS_264,H2morrow,Capture,2019-01-01,,2027-01-01,,Planned,,1.9,1.9,Hydrogen/ammonia,Dedicated storage,
CCUS_265,H2NorthEast (Kellas Midstream Teesside Blue Hydrogen) Phase 1,Capture,2021-01-01,2024-01-01,2027-01-01,,Planned,,,,Hydrogen/ammonia,Dedicated storage,Northern Endurance Partnership
CCUS_266,H2NorthEast (Kellas Midstream Teesside Blue Hydrogen) Phase 2,Capture,2021-01-01,,2030-01-01,,Planned,,,,Hydrogen/ammonia,Dedicated storage,Northern Endurance Partnership
CCUS_267,H2Perth Woodside,Full Chain,2021-01-01,2023-01-01,,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,
CCUS_268,Hackberry Carbon Sequestration (HCS) project at Cameron LNG (LA),Full Chain,2022-01-01,,,,Planned,,2.0,2.0,Natural gas processing,Dedicated storage,
CCUS_269,Hanson UK Padeswood Plant CCS,Capture,2021-01-01,2023-01-01,2028-01-01,,Planned,,0.8,0.8,Cement,Dedicated storage,Liverpool Bay CO2 storage
CCUS_270,Haru Oni HIF Chile eFuels Magallanes phase 1,CCU,2021-01-01,2023-01-01,2025-01-01,,Planned,1.0,0.23,0.23,Direct Air Capture,Use,
CCUS_271,Haru Oni HIF Chile eFuels Magallanes phase 2,CCU,2021-01-01,,2026-01-01,,Planned,2.0,1.3,1.3,Direct Air Capture,Use,
CCUS_272,Haynesville Shale natural gas (LA),Capture,2022-01-01,2023-01-01,,,Planned,,,,Natural gas processing,Dedicated storage,CENLA hub
CCUS_273,"Heartland Greenway (IA, IL, MN, NE, SD) ",Transport,2021-01-01,2023-01-01,2025-01-01,,Planned,,10.0,15.0,CO2 transport,,Heartland Greenway
CCUS_274,Heidelberg Materials CBR Antoing Cement Plant (Project Anthemis),Capture,2023-01-01,,2028-01-01,,Planned,,0.8,0.8,Cement,Dedicated storage,
CCUS_275,Heidelberg Materials Mitchell plant (IN),Capture,2022-01-01,,,,Planned,,2.0,2.0,Cement,Dedicated storage,Mitchell CarbonSAFE (IL)
CCUS_276,Heidelberg Materials's Hanover cement plant (LEILAC 2),Capture,2021-01-01,2023-01-01,2025-01-01,,Planned,,0.1,0.1,Cement,Use,
CCUS_277,HERO basalt CarbonSafe (OR),Storage,2023-01-01,,,,Planned,,,,CO2 storage,Dedicated storage,HERO basalt CarbonSafe (OR)
CCUS_278,Heron Lake biorefinery (MN),Capture,2021-01-01,2023-01-01,2024-01-01,,Planned,,0.16,0.186,Biofuels,Dedicated storage,Midwest carbon express
CCUS_280,Highwater Ethanol Lamberton biorefinery (MN),Capture,2021-01-01,2023-01-01,2024-01-01,,Planned,,0.13,0.157,Biofuels,Dedicated storage,Midwest carbon express
CCUS_281,Hinton Bioenergy CCS project (ALB),Capture,2022-01-01,,,,Planned,,1.3,1.3,Other industry,Unknown/unspecified,
CCUS_282,Holcim Exshaw Plant,Full Chain,2023-01-01,,2030-01-01,,Planned,,1.3,1.3,Cement,Dedicated storage,
CCUS_283,Holcim Koromacno Plant,Capture,2023-01-01,,2027-01-01,,Planned,,0.4,0.4,Cement,Dedicated storage,Geothermal CCS Croatia
CCUS_284,Holcim Milaki Plant,Capture,2023-01-01,,2027-01-01,,Planned,,1.0,1.0,Cement,Dedicated storage,Prinos CO2 storage
CCUS_285,Holcim Oburg cement plant,Capture,2022-01-01,,,,Planned,,1.3,1.3,Cement,Dedicated storage,
CCUS_286,Homeland Energy Solutions Lawler biorefinery (IA),Capture,2021-01-01,2023-01-01,2024-01-01,,Planned,,0.49,0.572,Biofuels,Dedicated storage,Midwest carbon express
CCUS_287,Horizon H2 capture tailings CCS (ALB),CCU,,,2009-01-01,,Operational,,0.438,0.438,Other fuel transformation,Use,
CCUS_288,Huaneng Zhengning coal power plant,CCU,2021-01-01,2022-01-01,2023-01-01,,Under construction,,1.5,1.5,Power and heat,Use,
CCUS_289,Husker Ag Plainview biorefinery (NE),Capture,2021-01-01,2023-01-01,2024-01-01,,Planned,,0.27,0.315,Biofuels,Dedicated storage,Midwest carbon express
CCUS_290,H-vision plant 1,Capture,2018-01-01,,2027-01-01,,Planned,1.0,1.3,1.3,Hydrogen/ammonia,Dedicated storage,Porthos
CCUS_291,H-vision plant 2,Capture,2018-01-01,,2030-01-01,,Planned,2.0,1.3,1.3,Hydrogen/ammonia,Dedicated storage,Porthos
CCUS_292,HyDEMO (shelved??),Capture,2020-01-01,2025-01-01,,,Planned,,0.15,0.15,Hydrogen/ammonia,Dedicated storage,
CCUS_293,Hydrogen 2 Magnum (H2M),Capture,2017-01-01,,2025-01-01,,Planned,,1.3,1.3,Hydrogen/ammonia,Dedicated storage,Northern Lights
CCUS_294,Hydrogen Energy Supply Chain (HESC) Project Full scale (CarbonNET),Capture,2018-01-01,,2030-01-01,,Planned,1.0,1.8,4.39,Hydrogen/ammonia,Dedicated storage,CarbonNET
CCUS_295,Hydrogen to Humber (H2H) Saltend,Capture,2020-01-01,2023-01-01,2027-01-01,,Planned,,1.4,1.4,Hydrogen/ammonia,Dedicated storage,Northern Endurance Partnership
CCUS_296,HyNet Hydrogen Production Project (HPP) Stanlow (Hynet Nortwest phase 1),Capture,2019-01-01,2023-01-01,2026-01-01,,Planned,,0.81,0.81,Hydrogen/ammonia,Dedicated storage,Liverpool Bay CO2 storage
CCUS_297,Hynet Northwest phase 2,Capture,2019-01-01,,2030-01-01,,Planned,,8.1,8.1,Hydrogen/ammonia,Dedicated storage,Liverpool Bay CO2 storage
CCUS_298,Hynovi project (Vicat Montalieu plant),CCU,2021-01-01,,2025-01-01,,Planned,,0.5,0.5,Cement,Use,
CCUS_299,Hyskies Vattenfall CHP Lanzatech,CCU,2021-01-01,,2027-01-01,,Planned,,,,Power and heat,Use,
CCUS_300,Illinois Clean Fuels Project (IL),Capture,2013-01-01,2024-01-01,2026-01-01,,Planned,,8.1,9.7,Biofuels,Dedicated storage,
CCUS_301,Illinois Industrial Carbon Capture and Storage (IL),Full Chain,2009-01-01,2011-01-01,2017-01-01,,Operational,,0.5,1.0,Biofuels,Dedicated storage,
CCUS_302,In Salah,Full Chain,,,2014-01-01,2011-01-01,Decommissioned,,0.5,0.5,Natural gas processing,Dedicated storage,
CCUS_303,Ince Bioenergy Carbon Capture and Storage (InBECCS) phase 2,Capture,2021-01-01,,,,Planned,1.0,,,Power and heat,Dedicated storage,Liverpool Bay CO2 storage
CCUS_304,Indian Oil Corporation Koyali refinery,Full Chain,2021-01-01,,2025-01-01,,Planned,,0.7,0.7,Other fuel transformation,Enhanced oil recovery and use,
CCUS_305,Ineos Antwerp CCS,Capture,2021-01-01,2023-01-01,2030-01-01,,Planned,,,,Other industry,Unknown/unspecified,
CCUS_306,INEOS Grangemouth refinery and hydrogen production,Capture,2021-01-01,,2030-01-01,,Planned,,1.0,1.0,Hydrogen/ammonia,Dedicated storage,Acorn CCS
CCUS_307,Innovative Integration of Carbon Capture for Clean Power (ALB),Capture,2022-01-01,,,,Planned,,,,Power and heat,Unknown/unspecified,
CCUS_308,Inpex Abadi LNG,Capture,2018-01-01,,2030-01-01,,Planned,,2.413793103,2.413793103,Natural gas processing,Unknown/unspecified,
CCUS_309,"Integrated Mid-Continent Stacked Carbon Storage Hub CarbonSAFE (NB, KS)",Transport & Storage,2017-01-01,,,,Planned,,1.9,1.9,CO2 transport & storage,Dedicated storage,"Integrated Mid-Continent Stacked Carbon Storage Hub CarbonSAFE (NB, KS)"
CCUS_310,"Integratred clean ammonia production, Port of Corpus Christi (TX) phase 1",Capture,2023-01-01,,2030-01-01,,Planned,1.0,,,Hydrogen/ammonia,Unknown/unspecified,
CCUS_311,"Integratred clean ammonia production, Port of Corpus Christi (TX) phase 2",Capture,2023-01-01,,,,Planned,2.0,10.0,10.0,Hydrogen/ammonia,Unknown/unspecified,
CCUS_312,Itochu/Petronas ammonia project (ALB),Full Chain,2021-01-01,2023-01-01,2027-01-01,,Planned,,,,Hydrogen/ammonia,Dedicated storage,
CCUS_313,Jambaran Tiung Biru gas processing Sukowati oil field EOR,Full Chain,2020-01-01,2023-01-01,2028-01-01,,Planned,,0.9,2.0,Natural gas processing,Enhanced oil recovery,
CCUS_314,James M  Barry Electric Generating Plant CCUS (AL),Capture,2022-01-01,,2030-01-01,,Planned,,0.5,0.5,Power and heat,Unknown/unspecified,
CCUS_315,Javelina Refinery CCS (TX),Capture,2021-01-01,,,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,
CCUS_316,Jiangsu Sailboat Green Methanol plant Shengong petrochemical,CCU,2021-01-01,,,,Planned,,0.15,0.16,Other industry,Use,
CCUS_317,Jiling Petrochemical CCUS (Nanjing refinery),Full Chain,2021-01-01,2022-01-01,2023-01-01,,Operational,,0.1,0.1,Other fuel transformation,Enhanced oil recovery,Jiangsu oilfield
CCUS_318,J-Power Sumitomo joint feasibility clean hydrogen Latrobe Valley (VI),Full Chain,2023-01-01,,,,Planned,,,,Hydrogen/ammonia,Dedicated storage,
CCUS_319,Jubail CCS Hub agreement,Transport & Storage,2022-01-01,,2027-01-01,,Planned,,9.0,9.0,CO2 transport & storage,Dedicated storage,Jubail CCS hub
CCUS_320,K6 Program- Lumbres cement plant,Capture,2021-01-01,2026-01-01,2028-01-01,,Planned,,0.81,0.81,Cement,Dedicated storage,
CCUS_321,Kairos@C,Capture,2021-01-01,2023-01-01,2025-01-01,,Planned,,1.42,1.42,Other industry,Dedicated storage,
CCUS_322,Karamay Xinjiang Dunhua methanol plant,Full Chain,,,2015-01-01,,Operational,,0.1,0.1,Other industry,Enhanced oil recovery,
CCUS_323,Keadby 3 Carbon Capture Power Station,Capture,2020-01-01,,2028-01-01,,Planned,,1.5,1.5,Power and heat,Dedicated storage,Northern Endurance Partnership
CCUS_324,Keadby Hydrogen Power Station Project,Capture,2021-01-01,,2029-01-01,,Planned,,,,Hydrogen/ammonia,Dedicated storage,Northern Endurance Partnership
CCUS_325,Kemper county CCUS (MS),Full Chain,,2010-01-01,2017-01-01,2017-01-01,Decommissioned,,3.0,3.0,Power and heat,Enhanced oil recovery,
CCUS_326,Kern River Eastridge cogeneration plant San Joaquin Valley (CA),Capture,2022-01-01,,,,Planned,,,,Power and heat,Dedicated storage,
CCUS_327,KeyState Natural Gas Synthesis & CCUS (PA),Full Chain,2021-01-01,,2024-01-01,,Planned,,0.104,0.104,Other industry,Dedicated storage,
CCUS_328,Kollsnes DAC facility,Full Chain,2021-01-01,,,,Planned,,0.5,1.0,Direct Air Capture,Dedicated storage,
CCUS_329,KVA Linth Waste-to-Energy Bergen,Capture,2020-01-01,,2025-01-01,,Planned,,0.1,0.1,Power and heat,Unknown/unspecified,
CCUS_330,L10 CCS,Transport & Storage,2021-01-01,2023-01-01,2026-01-01,,Planned,,4.0,5.0,CO2 transport & storage,Dedicated storage,L10 CCS
CCUS_331,Labarge Shute Creek Gas Processing Plant 1.2 Mtpa expansion (WY),Full Chain,2021-01-01,2022-01-01,2025-01-01,,Under construction,,1.2,1.2,Natural gas processing,Unknown/unspecified,
CCUS_332,Labarge Shute Creek Gas Processing Plant 2010 expansion (WY),Full Chain,2008-01-01,2008-01-01,2010-01-01,,Operational,2.0,3.5,3.5,Natural gas processing,Enhanced oil recovery,
CCUS_333,Labarge Shute Creek Gas Processing Plant original (WY),Full Chain,,1984-01-01,1986-01-01,,Operational,1.0,3.5,3.5,Natural gas processing,Enhanced oil recovery,
